,paper_id,citing_paper_id,title,result_id,link,snippet,resources_title,resources_link,citation_count,cites_id,versions,cluster_id,full_citation,key_words,authors,pub_info,year
35,35,3,A simulation model for automated container terminals,PhCo27aHxJcJ,https://www.researchgate.net/profile/Jaap-Ottjes/publication/2467157_A_Simulation_Model_for_Automated_Container_Terminals/links/5406bdbf0cf2c48563b25cc7/A-Simulation-Model-for-Automated-Container-Terminals.pdf,"In order to accommodate the growing intercontinental container transport, port facilities have to be up-scaled drastically. The challenge is to develop facilities that can handle a new generation of ships, the jumbo container vessels, with a capacity of 8,000 TEU (Twenty-foot …",researchgate.net,https://www.researchgate.net/profile/Jaap-Ottjes/publication/2467157_A_Simulation_Model_for_Automated_Container_Terminals/links/5406bdbf0cf2c48563b25cc7/A-Simulation-Model-for-Automated-Container-Terminals.pdf,76,10936015014601429054,8,10936015014601429054,"Duinkerken, Mark B., and Jaap A. Ottjes. ""A simulation model for automated container terminals."" Proceedings of the Business and Industry Simulation Symposium. Vol. 10. 2000.","['simulation', 'model', 'automated', 'container', 'terminals']","Duinkerken, Mark B., and Jaap A. Ottjes.",Proceedings of the Business and Industry Simulation Symposium. Vol. 10. 2000.,2000
36,36,3,Evaluation of inter terminal transport configurations at Rotterdam Maasvlakte using discrete event simulation,TSp8tOQMND0J,https://ieeexplore.ieee.org/abstract/document/7020026/,"In this paper, various Inter Terminal Transport (ITT) systems for the Port of Rotterdam are evaluated. The Port Authority is investigating possible solutions for the transport of containers between terminals at the existing so-called Maasvlakte 1 and new Maasvlakte 2 …",core.ac.uk,https://core.ac.uk/download/pdf/189672985.pdf,22,4410164111522671181,12,4410164111522671181,"Schroër, Herbert JL, et al. ""Evaluation of inter terminal transport configurations at Rotterdam Maasvlakte using discrete event simulation."" Proceedings of the Winter Simulation Conference 2014. IEEE, 2014.","['evaluation', 'inter', 'terminal', 'transport', 'configurations', 'rotterdam', 'maasvlakte', 'using', 'discrete', 'event', 'simulation']","Schroër, Herbert JL, et al.","Proceedings of the Winter Simulation Conference 2014. IEEE, 2014.",2014
37,37,3,The application of distributed simulation in TOMAS: redesigning a complex transportation model,KP_nC0DEyq4J,https://ieeexplore.ieee.org/abstract/document/1166379/,"This paper describes the application of distributed discrete event simulation in the study of an automated container terminal. The new model was developed to continue the study of large and complex logistic systems. In a previous study, a standalone model of the terminal …",psu.edu,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.1.3088&rep=rep1&type=pdf,20,12595095087251717928,9,12595095087251717928,"Duinkerken, Mark B., Jaap A. Ottjes, and Gabriel Lodewijks. ""The application of distributed simulation in TOMAS: redesigning a complex transportation model."" Proceedings of the Winter Simulation Conference. Vol. 2. IEEE, 2002.","['application', 'distributed', 'simulation', 'tomas', 'redesigning', 'complex', 'transportation', 'model']","Duinkerken, Mark B., Jaap A. Ottjes, and Gabriel Lodewijks.","Proceedings of the Winter Simulation Conference. Vol. 2. IEEE, 2002.",2002
38,38,3,Distributed intelligence in autonomous multi-vehicle systems,czYDKTBbEhoJ,https://www.inderscienceonline.com/doi/abs/10.1504/IJCIS.2006.009442,"To make better use of existing infrastructures, new control methods are under development. In the Intelligent Infrastructures programme, an infrastructure is seen as a multi-agent system, with more or less autonomous subsystems that are related to each other in …",no data,no data,18,1878664256971552371,10,1878664256971552371,"Van Dam, Koen H., et al. ""Distributed intelligence in autonomous multi-vehicle systems."" International journal of critical infrastructures 2.2-3 (2006): 261-272.","['distributed', 'intelligence', 'autonomous', 'multivehicle', 'systems']","Van Dam, Koen H., et al.",International journal of critical infrastructures 2.2-3 (2006): 261-272.,2006
39,39,3,Improving quay transport on automated container terminals,5TY5GbtWB5EJ,http://wbmttt.tudelft.nl/users/duinkerk/papers/cre0206.pdf,"In order to accommodate the growth in intercontinental container transport, port facilities have to be up-scaled drastically. One of the major challenges is to increase the capacity of the marine operation on a container terminal. In this study the model of a quay transport …",tudelft.nl,http://wbmttt.tudelft.nl/users/duinkerk/papers/cre0206.pdf,16,10450416821918578405,5,10450416821918578405,"Duinkerken, MARK B., JOSEPH JM Evers, and JAAP A. Ottjes. ""Improving quay transport on automated container terminals."" Proceedings of the IASTED International Conference Applied Simulation and Modelling (ASM 2002), Crete. 2002.","['improving', 'quay', 'transport', 'automated', 'container', 'terminals']","Duinkerken, MARK B., JOSEPH JM Evers, and JAAP A. Ottjes.","Proceedings of the IASTED International Conference Applied Simulation and Modelling (ASM 2002), Crete. 2002.",2002
40,40,4,An agent-based solution for the berth allocation problem,tW2BTadnl9UJ,http://univagora.ro/jour/index.php/ijccc/article/view/465,"This work presents the development of MABAP, a decision support system based on the agent technology that helps in solving the problem of berth allocation for ships within a port. The Berth Allocation Problem (BAP) regards the logistics involved in planning and …",univagora.ro,http://univagora.ro/jour/index.php/ijccc/article/download/465/39,10,15390884219819486645,9,15390884219819486645,"Cubillos, Claudio, et al. ""An agent-based solution for the berth allocation problem."" International Journal of Computers Communications & Control 8.3 (2013): 384-394.","['agentbased', 'solution', 'berth', 'allocation', 'problem']","Cubillos, Claudio, et al.",International Journal of Computers Communications & Control 8.3 (2013): 384-394.,2013
41,41,4,A multi-agent system for container terminal management,FIGR_pEPI6IJ,https://ieeexplore.ieee.org/abstract/document/4593869/,Solutions for improving container terminal productivity are concerned on implementing strategies and technologies of the container terminal management system. Multi-agent system provides a suitable and effective method to address this problem. This paper …,no data,no data,10,11683198978044821780,2,11683198978044821780,"Yan, Nannan, Guangzhong Liu, and Zhenhong Xi. ""A multi-agent system for container terminal management."" 2008 7th World Congress on Intelligent Control and Automation. IEEE, 2008.","['multiagent', 'system', 'container', 'terminal', 'management']","Yan, Nannan, Guangzhong Liu, and Zhenhong Xi.","2008 7th World Congress on Intelligent Control and Automation. IEEE, 2008.",2008
42,42,4,Agent-based container terminal optimisation,OsmmhJM3uI4J,https://link.springer.com/chapter/10.1007/978-3-642-24603-6_14,Container terminals play a critical role in international shipping and are under pressure to cope with increasing container traffic. The problem of managing container terminals effectively has a number of characteristics which make agents a suitable technology to …,academia.edu,https://www.academia.edu/download/47878939/Agent-based_container_terminal_optimisat20160808-18212-10wewgm.pdf,5,10284030855825770810,9,10284030855825770810,"Winikoff, Michael, et al. ""Agent-based container terminal optimisation."" German Conference on Multiagent System Technologies. Springer, Berlin, Heidelberg, 2011.","['agentbased', 'container', 'terminal', 'optimisation']","Winikoff, Michael, et al.","German Conference on Multiagent System Technologies. Springer, Berlin, Heidelberg, 2011.",2011
43,43,4,Blockchain applications and architectures for port operations and logistics management,U_RW57CJHoYJ,https://www.sciencedirect.com/science/article/pii/S2210539521000031,"Efficient port logistic operations and management are critical for global trade and transportation services. The current port logistic handling systems are highly centralized and offer limited opportunities for collaboration among diverse stakeholders. Moreover, existing …",no data,no data,7,9664313243272148051,3,9664313243272148051,"Ahmad, Raja Wasim, et al. ""Blockchain applications and architectures for port operations and logistics management."" Research in Transportation Business & Management (2021): 100620.","['blockchain', 'applications', 'architectures', 'port', 'operations', 'logistics', 'management']","Ahmad, Raja Wasim, et al.",Research in Transportation Business & Management (2021): 100620.,2021
44,44,4,基于 MAS 的集装箱自动化码头协同作业系统模型,QU3Et9QnREcJ,http://www.cqvip.com/qk/93231x/201304/45288464.html,"ZPMC 新型集装箱自动化码头使用低架桥轨道和电动小车构成立体装卸系统, 将集装箱的装卸分解为多个起重设备和水平运输设备的协作, 实现了集装箱的自动装卸. 针对该码头的运作特点, 采用MAS (multi-agent system, 多智能体系统) 方法 …",no data,no data,4,5135273269678853441,2,5135273269678853441,"王祥雪, and 朱瑾. ""基于 MAS 的集装箱自动化码头协同作业系统模型."" 计算机应用研究 30.4 (2013): 1072-1075.","['基于', '的集装箱自动化码头协同作业系统模型']","王祥雪, and 朱瑾.",计算机应用研究 30.4 (2013): 1072-1075.,2013
45,45,4,集装箱堆场收发箱管理 Multi—Agent 系统研究,H7zmDzkOxbcJ,http://www.cqvip.com/qk/90724x/201303/45912075.html,"考虑集装箱码头堆场管理的动态性, 复杂性和分布式特点, 在对集装箱堆场作业工艺分析的基础上, 建立了堆场收发箱管理Multi—Agent 系统模型, 系统地分析了Agent 基本结构和功能, 分别基于两级调度策略和翻箱期望最小设计了收, 发箱箱位优化Agent, 提出了Agent …",no data,no data,2,13242005917595515935,2,13242005917595515935,"周鹏飞, and 方金灿. ""集装箱堆场收发箱管理 Multi—Agent 系统研究."" 大连理工大学学报 53.3 (2013): 382-389.","['集装箱堆场收发箱管理', 'multi—agent', '系统研究']","周鹏飞, and 方金灿.",大连理工大学学报 53.3 (2013): 382-389.,2013
46,46,4,Automatic Damage-Detecting System for Port Container Gate Based on AI,5p0VMZGeMUcJ,https://dl.acm.org/doi/abs/10.1145/3436369.3436480,"In this paper, in order to realize the intellectualization of port container gate detection, an automatic container inspection system based on machine vision and edge calculation is designed and implemented. Firstly, the frame difference method is used to start the program …",no data,no data,0,no data,no data,no data,"Tang, Chunming, Peng Chen, and Yan Li. ""Automatic Damage-Detecting System for Port Container Gate Based on AI."" Proceedings of the 2020 9th International Conference on Computing and Pattern Recognition. 2020.","['automatic', 'damagedetecting', 'system', 'port', 'container', 'gate', 'based']","Tang, Chunming, Peng Chen, and Yan Li.",Proceedings of the 2020 9th International Conference on Computing and Pattern Recognition. 2020.,2020
47,47,4,Agent-Based Container Terminal Optimisation,9GwPOa9xTzcJ,https://ourarchive.otago.ac.nz/handle/10523/1773,Container terminals have become important components in global logistics and transportation. The continuing growth of container transport is adding pressure to container terminals to improve efficiency. The problem of managing container terminals has a number …,otago.ac.nz,https://ourarchive.otago.ac.nz/bitstream/handle/10523/1773/Guannan%20LiMasterthesis.pdf?sequence=1&isAllowed=y,0,no data,8,3985529192636706036,"Li, Guannan. Agent-Based Container Terminal Optimisation. Diss. University of Otago, 2011.","['agentbased', 'container', 'terminal', 'optimisation']","Li, Guannan",Diss,2011
48,48,4,Container Number Recognition Method Based on SSD_MobileNet and SVM,T_cGg-fvK1AJ,https://www.asrjetsjournal.org/index.php/American_Scientific_Journal/article/view/6482,"Aiming at how to realize the recognition of the container number on the container surface at the entrance and exit of the port, a method based on image affine transformation and SVM classifier is proposed. The main process includes truck target detection, box number area …",asrjetsjournal.org,https://www.asrjetsjournal.org/index.php/American_Scientific_Journal/article/download/6482/2285,0,no data,2,5776974724647548751,"Chun-ming, Tang. ""Container Number Recognition Method Based on SSD_MobileNet and SVM."" American Scientific Research Journal for Engineering, Technology, and Sciences (ASRJETS) 74.1 (2020): 200-211.","['container', 'number', 'recognition', 'method', 'based', 'ssdmobilenet', 'svm']","Chun-ming, Tang.","American Scientific Research Journal for Engineering, Technology, and Sciences (ASRJETS) 74.1 (2020): 200-211.",2020
49,49,4,Research on Automatic Control System of Bulk Terminal Based on Application,e5Yy7J_XF78J,https://iopscience.iop.org/article/10.1088/1742-6596/1905/1/012008/meta,"Due to the wide variety of cargo types, the shape of the cargo has caused great obstacles to the intelligent management of the bulk cargo terminal. Now most bulk cargo terminals operate in the traditional manual warehouse operation mode and data collection, but the …",iop.org,https://iopscience.iop.org/article/10.1088/1742-6596/1905/1/012008/pdf,0,no data,2,13769711467571091067,"Wang, Xuelin, Hankun Shi, and Hongmao Zhou. ""Research on Automatic Control System of Bulk Terminal Based on Application."" Journal of Physics: Conference Series. Vol. 1905. No. 1. IOP Publishing, 2021.","['research', 'automatic', 'control', 'system', 'bulk', 'terminal', 'based', 'application']","Wang, Xuelin, Hankun Shi, and Hongmao Zhou.","Journal of Physics: Conference Series. Vol. 1905. No. 1. IOP Publishing, 2021.",1905
50,50,5,Toward a taxonomy of container terminals' practices and performance: A contingency and configuration study,YhrDvKv4QGAJ,https://econpapers.repec.org/article/eeetransa/v_3a121_3ay_3a2019_3ai_3ac_3ap_3a92-107.htm,"By Ping Wang, Joan Mileski and Qingcheng Zeng; Toward a taxonomy of container terminals' practices and performance: A contingency and configuration study.",no data,no data,6,6935816842640562786,4,6935816842640562786,"Wang, Ping, Joan Mileski, and Qingcheng Zeng. ""Toward a taxonomy of container terminals’ practices and performance: A contingency and configuration study."" Transportation Research Part A: Policy and Practice 121.C (2019): 92-107.","['toward', 'taxonomy', 'container', 'terminals', 'practices', 'performance', 'contingency', 'configuration', 'study']","Wang, Ping, Joan Mileski, and Qingcheng Zeng.",Transportation Research Part A: Policy and Practice 121.C (2019): 92-107.,2019
51,51,5,Strategic maritime management as a new emerging field in maritime studies,qBb5r5gFqgUJ,https://www.emerald.com/insight/content/doi/10.1108/MABR-06-2018-0019/full/html,Purpose This study aims to promote strategic maritime management as a new emerging discipline to foster research in strategic maritime issues. Design/methodology/approach An existing academic discipline maturity model is adapted by including four phases of dynamic …,shippingdigest.tw,"http://www.shippingdigest.tw/Maritime/202102%20Vol.%203%20No.%203,%202018.pdf",5,408144869575956136,3,408144869575956136,"Wang, Ping, and Joan Mileski. ""Strategic maritime management as a new emerging field in maritime studies."" Maritime Business Review (2018).","['strategic', 'maritime', 'management', 'new', 'emerging', 'field', 'maritime', 'studies']","Wang, Ping, and Joan Mileski.",Maritime Business Review (2018).,2018
52,52,5,Innovation and maritime transport: A systematic review,tpgpp18QgzQJ,https://www.sciencedirect.com/science/article/pii/S2213624X18303420,"Innovation is often defined as the introduction of a new concept aiming at improving a certain situation, either using new solutions or a novel combination of already existing resources. In the shipping industry, innovation is a determining factor of shipping evolution …",no data,no data,7,3783886114933807286,4,3783886114933807286,"Koukaki, Theodora, and Alessio Tei. ""Innovation and maritime transport: A systematic review."" Case Studies on Transport Policy 8.3 (2020): 700-710.","['innovation', 'maritime', 'transport', 'systematic', 'review']","Koukaki, Theodora, and Alessio Tei.",Case Studies on Transport Policy 8.3 (2020): 700-710.,2020
53,53,5,On the Automation of Ports and Logistics Chains in the Adriatic Region,2Lc8H4aFZW0J,https://link.springer.com/chapter/10.1007/978-3-030-58820-5_8,"Recently, automation is gaining an even more important role in the port and maritime industry. In particular, several technological innovations are changing both the freight and passenger transport sector. The introduction of these technologies in port terminals (smart …",nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7974190/,2,7882853533878106072,5,7882853533878106072,"Braidotti, Luca, et al. ""On the Automation of Ports and Logistics Chains in the Adriatic Region."" International Conference on Computational Science and Its Applications. Springer, Cham, 2020.","['automation', 'ports', 'logistics', 'chains', 'adriatic', 'region']","Braidotti, Luca, et al.","International Conference on Computational Science and Its Applications. Springer, Cham, 2020.",2020
54,54,5,Factors Influencing Port Terminal Automation in the Fourth Industrial Revolution: A Case Study of Durban,9QlWQINAL6EJ,https://www.igi-global.com/chapter/factors-influencing-port-terminal-automation-in-the-fourth-industrial-revolution/227826,"Port terminals play an integral role in the transportation logistics chain by providing cargo handling, storage, and warehousing services to a range of shipping lines, freight forwarders, and cargo owners. This chapter reports on a case study aimed at determining the …",no data,no data,2,11614572896476072437,2,11614572896476072437,"Padayachee, Indira, and John Mukomana. ""Factors Influencing Port Terminal Automation in the Fourth Industrial Revolution: A Case Study of Durban."" Responsible, Sustainable, and Globally Aware Management in the Fourth Industrial Revolution. IGI Global, 2019. 244-277.","['factors', 'influencing', 'port', 'terminal', 'automation', 'fourth', 'industrial', 'revolution', 'case', 'study', 'durban']","Padayachee, Indira, and John Mukomana.","Responsible, Sustainable, and Globally Aware Management in the Fourth Industrial Revolution. IGI Global, 2019. 244-277.",2019
55,55,5,Liner-dedicated manageability estimation for port operational reliability,W6qBs0rl_jkJ,https://www.sciencedirect.com/science/article/pii/S0951832018314789,"A container port consists of various sub-systems such as berth, block, gate, etc., which consists of different types of machines where containers are handled. Much research has been conducted on improving operational performance of a container port over the past …",no data,no data,1,4179029613248359003,5,4179029613248359003,"Park, Jaehun, and Byung Kwon Lee. ""Liner-dedicated manageability estimation for port operational reliability."" Reliability Engineering & System Safety 198 (2020): 106897.","['linerdedicated', 'manageability', 'estimation', 'port', 'operational', 'reliability']","Park, Jaehun, and Byung Kwon Lee.",Reliability Engineering & System Safety 198 (2020): 106897.,2020
56,56,5,The global trends of automated container terminal: a systematic literature review,_Abf0xo-YzoJ,https://www.emerald.com/insight/content/doi/10.1108/MABR-03-2020-0016/full/html,"Purpose Since the first automated container terminal (ACT) was introduced at Europe Container Terminals Delta Terminal in Port Rotterdam back in the year 1992, a lot of research had been done to improve the management of ACT. However, up until recently, the …",no data,no data,1,4207274761838855932,2,4207274761838855932,"Kon, W. K., et al. ""The global trends of automated container terminal: a systematic literature review."" Maritime Business Review (2020).","['global', 'trends', 'automated', 'container', 'terminal', 'systematic', 'literature', 'review']","Kon, W. K., et al.",Maritime Business Review (2020).,2020
57,57,5,A model for port throughput forecasting using Bayesian estimation,odv2-MRfzOAJ,https://link.springer.com/article/10.1057/s41278-021-00190-x,"Capacity plays a crucial role in a port's competitive position and the growth of its market share. An investment decision to provide new port capacity should be supported by a growing demand for port services. However, port demand is volatile and uncertain in an …",springer.com,https://link.springer.com/article/10.1057/s41278-021-00190-x,2,16198427259339987873,7,16198427259339987873,"Eskafi, Majid, et al. ""A model for port throughput forecasting using Bayesian estimation."" Maritime Economics & Logistics 23.2 (2021): 348-368.","['model', 'port', 'throughput', 'forecasting', 'using', 'bayesian', 'estimation']","Eskafi, Majid, et al.",Maritime Economics & Logistics 23.2 (2021): 348-368.,2021
58,58,5,The Development Model of Strategic Transformation Capability Based on Relational Quality to Exploitability Knowledge and Innovative Performance,OGAYRHsjTvkJ,https://www.ceeol.com/search/article-detail?id=901235,"The importance of effective network quality and dynamic capability approaches in organizations, especially knowledge-based organizations, is to improve innovative performance. It happens because of dynamic capabilities based-organizations …",researchgate.net,https://www.researchgate.net/profile/Zahid-Hussain-34/publication/344463762_Investigating_the_Effects_of_Trade_Facilities_on_Exports_A_Case_Study_of_Mongolian_Economy/links/5f794494a6fdcc0086557adc/Investigating-the-Effects-of-Trade-Facilities-on-Exports-A-Case-Study-of-Mongolian-Economy.pdf#page=184,0,no data,6,17964334975957884984,"MUBAROK, Muhammad Husni. ""The Development Model of Strategic Transformation Capability Based on Relational Quality to Exploitability Knowledge and Innovative Performance."" Editorial Board (2019): 1108.","['development', 'model', 'strategic', 'transformation', 'capability', 'based', 'relational', 'quality', 'exploitability', 'knowledge', 'innovative', 'performance']","MUBAROK, Muhammad Husni.",Editorial Board (2019): 1108.,2019
59,59,5,The global trends of automated container terminal: a systematic,lFSqSB2GtrIJ,https://www.researchgate.net/profile/Rudiah-Md-Hanafiah/publication/346590084_The_global_trends_of_automated_container_terminal_a_systematic_literature_review/links/60ccbe6e458515dc1791a0e2/The-global-trends-of-automated-container-terminal-a-systematic-literature-review.pdf,"Purpose–Since the first automated container terminal (ACT) was introduced at Europe Container Terminals Delta Terminal in Port Rotterdam back in the year 1992, a lot of research had been done to improve the management of ACT. However, up until recently, the …",researchgate.net,https://www.researchgate.net/profile/Rudiah-Md-Hanafiah/publication/346590084_The_global_trends_of_automated_container_terminal_a_systematic_literature_review/links/60ccbe6e458515dc1791a0e2/The-global-trends-of-automated-container-terminal-a-systematic-literature-review.pdf,0,no data,no data,no data,"Kon, W. K., et al. ""The global trends of automated container terminal: a systematic."" (2020).","['global', 'trends', 'automated', 'container', 'terminal', 'systematic']","Kon, W. K., et al.",(2020).,2020
60,60,6,Operational and disaggregate input efficiencies of international container ports: an application of stochastic frontier analysis,fa7XPKgpU8wJ,https://www.inderscienceonline.com/doi/abs/10.1504/IJSTL.2018.090092,"This paper applies stochastic frontier/metafrontier analysis to study output and disaggregate input efficiencies of international container ports during 2004–2011 to identify avenues for strengthening port operations. One output variable, four input variables and six …",no data,no data,8,14723157409356295805,5,14723157409356295805,"Chen, Huey-Kuo, Huey-Wen Chou, and Cheng-Che Hsieh. ""Operational and disaggregate input efficiencies of international container ports: an application of stochastic frontier analysis."" International Journal of Shipping and Transport Logistics 10.2 (2018): 113-159.","['operational', 'disaggregate', 'input', 'efficiencies', 'international', 'container', 'ports', 'application', 'stochastic', 'frontier', 'analysis']","Chen, Huey-Kuo, Huey-Wen Chou, and Cheng-Che Hsieh.",International Journal of Shipping and Transport Logistics 10.2 (2018): 113-159.,2018
61,61,6,The integrated optimization of quay crane-yard truck scheduling in the container terminal with uncertain factors,7-kofk2I4XUJ,https://gvpress.com/journals/IJHIT/vol9_no2/14.pdf,"The key to improve the container terminal efficiency is the integrated optimization of the quay crane (QC) and the yard truck (YT) scheduling, which is normally settled separately and considered in a certain condition in classical literatures. To improve the operation efficiency …",gvpress.com,https://gvpress.com/journals/IJHIT/vol9_no2/14.pdf,3,8494220238607935983,2,8494220238607935983,"Lu, Yiqin, Youfang Huang, and Bin Yang. ""The integrated optimization of quay crane-yard truck scheduling in the container terminal with uncertain factors."" International Journal of Hybrid Information Technology 9.2 (2016): 163-176.","['integrated', 'optimization', 'quay', 'craneyard', 'truck', 'scheduling', 'container', 'terminal', 'uncertain', 'factors']","Lu, Yiqin, Youfang Huang, and Bin Yang.",International Journal of Hybrid Information Technology 9.2 (2016): 163-176.,2016
62,62,6,Container terminal automation in Port of Santos-a business case analysis,CLc8mFkckZcJ,no data,no data,no data,no data,2,10921541742481946376,no data,no data,"Silveira, Rodrigo Muricy Souza. Container terminal automation in Port of Santos-a business case analysis. Diss. Master’s thesis, Center for Maritime Economics and Logistics, Erasmus University Rotterdam. http://hdl. handle. net/2105/43890. Accessed 1 July, 2020.","['container', 'terminal', 'automation', 'port', 'santosa', 'business', 'case', 'analysis']","Silveira, Rodrigo Muricy Souza",Diss,2105
63,63,6,Experimental Analysis of Process Parameters of Robot Onboard AGVS for Material Handling in Plant Layouts with and without Split Loads,f9jjSuaNJq8J,https://pdfs.semanticscholar.org/916e/e266c7c9203c10d5e64d5d3e4005f0bb13dc.pdf,In the computer integrated manufacturing industries the material transportation by Automated Guided Vehicles (AGVs) and handling by mechanical manipulators is a common practice. Optimization in such environments is based on effective utilization and usage of …,semanticscholar.org,https://pdfs.semanticscholar.org/916e/e266c7c9203c10d5e64d5d3e4005f0bb13dc.pdf,0,no data,no data,no data,"Srikanth, V. S., and D. N. Rao. ""Experimental Analysis of Process Parameters of Robot Onboard AGVS for Material Handling in Plant Layouts with and without Split Loads."" Ind Eng Manage 7.250 (2018): 2169-0316.","['experimental', 'analysis', 'process', 'parameters', 'robot', 'onboard', 'agvs', 'material', 'handling', 'plant', 'layouts', 'without', 'split', 'loads']","Srikanth, V. S., and D. N. Rao.",Ind Eng Manage 7.250 (2018): 2169-0316.,2018
64,64,6,A simulation model for the management for containers internal transport in a seaport,8JWb_DPIyhoJ,http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-46452019000200096,This paper proposes a simulation model for the management of vehicles in charge of the internal transport of containers at a seaport. These vehicles are specialized trucks that must transport containers within the port to carry out activities such as inspections by customs …,scielo.org.co,http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-46452019000200096,0,no data,7,1930575515888621040,"Arango-Pastrana, Carlos Alberto. ""A simulation model for the management for containers internal transport in a seaport."" Cuadernos de Administración (Universidad del Valle) 35.64 (2019): 96-109.","['simulation', 'model', 'management', 'containers', 'internal', 'transport', 'seaport']","Arango-Pastrana, Carlos Alberto.",Cuadernos de Administración (Universidad del Valle) 35.64 (2019): 96-109.,2019
65,65,6,Estudio sobre el avance del conocimiento en la automatización de las terminales portuarias de contenedores,6EMpCjQv7HUJ,https://riunet.upv.es/handle/10251/131784,"[ES] Dada la alta competitividad del sector portuario, asi como la alta especializacion de los traficos, se intenta dar un valor an~ adido a los clientes, y en especial a las navieras, que buscan tiempos de estancia bajos para poder maximizar la rentabilidad del buque. Por otro …",upv.es,https://riunet.upv.es/bitstream/handle/10251/131784/01_Memoria.pdf?sequence=1,0,no data,no data,no data,"Baviera García, Miguel. ""Estudio sobre el avance del conocimiento en la automatización de las terminales portuarias de contenedores."" (2019).","['estudio', 'avance', 'conocimiento', 'automatización', 'terminales', 'portuarias', 'contenedores']","Baviera García, Miguel.",(2019).,2019
66,66,6,Estudios tecnicos del programa Revit BIM Autodesk y proceso de intercambio de informacion con programas internos de Graitec,6bPqo2m6210J,https://riunet.upv.es/handle/10251/131794,"[ES] El presente documento trata sobre el TFM realizado en la empresa Graitec. He seguido varias etapas, comenzando con formaciones iniciales, para mejorar mi conocimiento. A continuación, se hicieron varias maquetas 3D con Revit (en trabajo individual y …",upv.es,https://riunet.upv.es/bitstream/handle/10251/131794/01_Memoria.pdf?sequence=1,0,no data,no data,no data,"Navarro Marco, Jesús. ""Estudios tecnicos del programa Revit BIM Autodesk y proceso de intercambio de informacion con programas internos de Graitec."" (2019).","['estudios', 'tecnicos', 'programa', 'revit', 'bim', 'autodesk', 'proceso', 'intercambio', 'informacion', 'programas', 'internos', 'graitec']","Navarro Marco, Jesús.",(2019).,2019
67,67,6,Modelo de simulación para la gestión del transporte interno de contenedores en un puerto marítimo,7M0J2bdQAAAJ,no data,no data,no data,no data,0,no data,no data,no data,"Arango-Pastrana, Carlos Alberto. ""Modelo de simulación para la gestión del transporte interno de contenedores en un puerto marítimo."" Cuadernos de Administración (Universidad del Valle) 35.64 (2019): 96-109.","['modelo', 'simulación', 'gestión', 'transporte', 'interno', 'contenedores', 'puerto', 'marítimo']","Arango-Pastrana, Carlos Alberto.",Cuadernos de Administración (Universidad del Valle) 35.64 (2019): 96-109.,2019
68,68,7,A Study on the perception of the subjects about automated container terminal,7xpWbxz-aV8J,https://www.koreascience.or.kr/article/JAKO202020363945157.page,"The production of larger of ships is a survival strategy for global shipping companies to pursue the economics of scale. According to this strategy, to respond to this situation, many containers are loading/unloading simultaneously in the hub port. Additionally, the container …",koreascience.or.kr,https://www.koreascience.or.kr/article/JAKO202020363945157.pdf,1,6875305704238226159,3,6875305704238226159,"You, Ji-Won, and Yul-Seong Kim. ""A Study on the perception of the subjects about automated container terminal."" Journal of Navigation and Port Research 44.3 (2020): 195-202.","['study', 'perception', 'subjects', 'automated', 'container', 'terminal']","You, Ji-Won, and Yul-Seong Kim.",Journal of Navigation and Port Research 44.3 (2020): 195-202.,2020
69,69,7,컨테이너터미널 자동화에 대한 관련 주체별 인식연구,i1k4I6qaiaAJ,https://www.dbpia.co.kr/Journal/articleDetail?nodeId=NODE09394556,"선박 대형화는 규모의 경제 추구를 위한 글로벌 해운선사들의 생존전략이며, 이러한 전략에 따라 허브항만에서 많은 화물을 동시에 적・양하하고 있다. 이러한 상황에 대응하기 위해 컨테이너터미널은 터미널 시설 확충과 장치장 공간의 효율성 및 생산성을 높이기 위한 자동화 …",no data,no data,2,11567947173403842955,3,11567947173403842955,"유지원, and 김율성. ""컨테이너터미널 자동화에 대한 관련 주체별 인식연구."" 한국항해항만학회지 44.3 (2020): 195-202.","['컨테이너터미널', '자동화에', '대한', '관련', '주체별', '인식연구']","유지원, and 김율성.",한국항해항만학회지 44.3 (2020): 195-202.,2020
70,70,7,A Study on the Application of Digital Twin Technology for Container Terminals,Ask9O7G5MdUJ,http://www.glonav.org/journal/view.php?doi=10.5394/KINPR.2020.44.6.557,"Abstract Digital Twin Technology is currently being utilized in many industries and logistics seems soon to follow that trend. Currently, technology introduction to container terminals is restrictedly developing. In reviewing the existing literature, it became clear that research on …",glonav.org,http://www.glonav.org/upload/pdf/KINPR-2020-44-6-557.pdf,1,15362263974791727362,2,15362263974791727362,"Choi, Hoon-Do, and Jang-Ho Yu. ""A Study on the Application of Digital Twin Technology for Container Terminals."" Journal of Navigation and Port Research 44.6 (2020): 557-563.","['study', 'application', 'digital', 'twin', 'technology', 'container', 'terminals']","Choi, Hoon-Do, and Jang-Ho Yu.",Journal of Navigation and Port Research 44.6 (2020): 557-563.,2020
